srcStateName,srcYear,srcMonth,Type of supply,E-way suppliers,E-way bills,E-way asset value,YearCode,Year,MonthCode,Month
UTTARAKHAND,2020-21,Apr - 2020,Inter State Outwards,2236,56679,4153.741162304,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
HARYANA,2020-21,Apr - 2020,Inter State Outwards,9092,226394,10301.209980681,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
DELHI,2020-21,Apr - 2020,Inter State Outwards,12217,135538,5760.53809504,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
RAJASTHAN,2020-21,Apr - 2020,Inter State Outwards,6806,84890,6494.769908317,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
UTTAR PRADESH,2020-21,Apr - 2020,Inter State Outwards,8233,140988,9877.73873822,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
BIHAR,2020-21,Apr - 2020,Inter State Outwards,1537,15235,741.619710263,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
SIKKIM,2020-21,Apr - 2020,Inter State Outwards,68,4026,2287.898719569,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
ARUNACHAL PRADESH,2020-21,Apr - 2020,Inter State Outwards,52,245,9.486457787,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
NAGALAND,2020-21,Apr - 2020,Inter State Outwards,44,284,23.868247864,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
MANIPUR,2020-21,Apr - 2020,Inter State Outwards,16,47,2.93779252,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
MIZORAM,2020-21,Apr - 2020,Inter State Outwards,20,89,3.582642843,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
TRIPURA,2020-21,Apr - 2020,Inter State Outwards,71,351,15.599603266,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
MEGHALAYA,2020-21,Apr - 2020,Inter State Outwards,87,986,50.368421249,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
ASSAM,2020-21,Apr - 2020,Inter State Outwards,2643,38758,1873.492317021,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
WEST BENGAL,2020-21,Apr - 2020,Inter State Outwards,5058,82441,7759.678923847,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
JHARKHAND,2020-21,Apr - 2020,Inter State Outwards,2141,38706,2275.543412073,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
ODISHA,2020-21,Apr - 2020,Inter State Outwards,1609,52234,7491.044414418,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
CHHATTISGARH,2020-21,Apr - 2020,Inter State Outwards,2624,38019,3783.548176574,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
MADHYA PRADESH,2020-21,Apr - 2020,Inter State Outwards,4558,66918,6288.84656339,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
GUJARAT,2020-21,Apr - 2020,Inter State Outwards,15391,251014,28169.704794987,2020,"Calendar Year (Jan - Dec), 2020",202004,"April, 2020"
