srcStateName,srcYear,srcMonth,GST ( Goods and Service Tax ) Return Type,Payer eligible for GST ( Goods and Service Tax ) registration,GST ( Goods and Service Tax ) Payers registered before due date,GST ( Goods and Service Tax ) Payers registered after due date,YearCode,Year,MonthCode,Month
Jammu and Kashmir,2018-19,Aug-2018,GSTR-1,39808,15775,9497,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
West Bengal,2018-19,Aug-2018,GSTR-1,235824,104078,51768,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Maharashtra,2018-19,Aug-2018,GSTR-1,554725,229068,102025,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
West Bengal,2018-19,Aug-2018,GSTR-3,529985,329185,154041,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Dadra and Nagar Haveli,2018-19,Aug-2018,GSTR-3,7702,4320,2753,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Manipur,2018-19,Aug-2018,GSTR-1,7115,1809,1731,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Haryana,2018-19,Aug-2018,GSTR-3,396878,244035,109744,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Puducherry,2018-19,Aug-2018,GSTR-1,14669,7222,3494,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Sikkim,2018-19,Aug-2018,GSTR-1,3269,1354,908,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Karnataka,2018-19,Aug-2018,GSTR-1,454656,223565,108571,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Mizoram,2018-19,Aug-2018,GSTR-1,3697,1368,835,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Himachal Pradesh,2018-19,Aug-2018,GSTR-1,30728,13763,4976,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Tamil Nadu,2018-19,Aug-2018,GSTR-3,879806,497659,229401,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Daman and Diu,2018-19,Aug-2018,GSTR-3,5805,3362,2037,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Manipur,2018-19,Aug-2018,GSTR-3,9887,3715,3653,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Jharkhand,2018-19,Aug-2018,GSTR-3,131933,76030,42418,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Ladakh,2018-19,Aug-2018,GSTR-3,,,,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Goa,2018-19,Aug-2018,GSTR-1,16723,7494,3412,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Himachal Pradesh,2018-19,Aug-2018,GSTR-3,78385,48848,22504,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Uttarakhand,2018-19,Aug-2018,GSTR-1,53463,19128,10061,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Nagaland,2018-19,Aug-2018,GSTR-3,5760,2104,2565,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Rajasthan,2018-19,Aug-2018,GSTR-3,515229,319734,145406,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Mizoram,2018-19,Aug-2018,GSTR-3,4739,2069,1640,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Gujarat,2018-19,Aug-2018,GSTR-3,819064,556651,204331,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Odisha,2018-19,Aug-2018,GSTR-3,211137,109068,70973,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Tripura,2018-19,Aug-2018,GSTR-1,10896,4069,2420,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Bihar,2018-19,Aug-2018,GSTR-3,271330,144832,90081,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Chandigarh,2018-19,Aug-2018,GSTR-1,11118,7051,1609,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Punjab,2018-19,Aug-2018,GSTR-1,102000,64436,12202,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Andaman and Nicobar Islands,2018-19,Aug-2018,GSTR-1,3598,720,1113,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Chhattisgarh,2018-19,Aug-2018,GSTR-3,100790,51304,40103,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Chandigarh,2018-19,Aug-2018,GSTR-3,27027,18479,6796,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Madhya Pradesh,2018-19,Aug-2018,GSTR-3,327986,196206,107764,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Delhi,2018-19,Aug-2018,GSTR-3,676767,394582,197050,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Tripura,2018-19,Aug-2018,GSTR-3,20636,11878,6394,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Kerala,2018-19,Aug-2018,GSTR-1,173204,87290,53378,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Arunachal Pradesh,2018-19,Aug-2018,GSTR-3,9390,2915,4691,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Nagaland,2018-19,Aug-2018,GSTR-1,4475,1308,1459,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Jammu and Kashmir,2018-19,Aug-2018,GSTR-3,80214,47009,25830,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Meghalaya,2018-19,Aug-2018,GSTR-1,13671,3801,3556,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Dadra and Nagar Haveli,2018-19,Aug-2018,GSTR-1,4259,2616,575,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Chhattisgarh,2018-19,Aug-2018,GSTR-1,49380,19103,14251,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Daman and Diu,2018-19,Aug-2018,GSTR-1,3417,2208,453,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Telangana,2018-19,Aug-2018,GSTR-3,293969,144053,112472,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Lakshadweep,2018-19,Aug-2018,GSTR-3,280,59,114,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Tamil Nadu,2018-19,Aug-2018,GSTR-1,654087,343627,127384,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Uttar Pradesh,2018-19,Aug-2018,GSTR-1,414163,188053,79857,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Lakshadweep,2018-19,Aug-2018,GSTR-1,232,35,44,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Sikkim,2018-19,Aug-2018,GSTR-3,5413,2892,1999,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Puducherry,2018-19,Aug-2018,GSTR-3,20172,10882,6183,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Andhra Pradesh,2018-19,Aug-2018,GSTR-3,257705,146891,78448,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Goa,2018-19,Aug-2018,GSTR-3,30274,15660,11511,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Rajasthan,2018-19,Aug-2018,GSTR-1,193037,86077,28726,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Gujarat,2018-19,Aug-2018,GSTR-1,322207,186044,46688,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Andaman and Nicobar Islands,2018-19,Aug-2018,GSTR-3,4626,1167,2312,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Madhya Pradesh,2018-19,Aug-2018,GSTR-1,135990,60514,33627,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Assam,2018-19,Aug-2018,GSTR-1,88186,22581,22080,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Karnataka,2018-19,Aug-2018,GSTR-3,677316,402088,184864,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Uttarakhand,2018-19,Aug-2018,GSTR-3,122691,68074,37257,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Punjab,2018-19,Aug-2018,GSTR-3,289432,212773,56344,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Andhra Pradesh,2018-19,Aug-2018,GSTR-1,179895,95579,43077,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Jharkhand,2018-19,Aug-2018,GSTR-1,66395,28032,17461,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Kerala,2018-19,Aug-2018,GSTR-3,271146,107133,144954,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Meghalaya,2018-19,Aug-2018,GSTR-3,22076,11601,6981,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Ladakh,2018-19,Aug-2018,GSTR-1,,,,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Odisha,2018-19,Aug-2018,GSTR-1,103393,33453,22872,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Telangana,2018-19,Aug-2018,GSTR-1,210486,97470,56090,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Arunachal Pradesh,2018-19,Aug-2018,GSTR-1,6159,1312,1649,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Maharashtra,2018-19,Aug-2018,GSTR-3,1322652,728353,444412,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Delhi,2018-19,Aug-2018,GSTR-1,268583,113527,44339,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Uttar Pradesh,2018-19,Aug-2018,GSTR-3,1044299,676291,254308,2018,"Financial Year (Apr - Mar), 2018",201805,"August, 2018"
Maharashtra,2018-19,Dec-2018,GSTR-1,1349417,218297,960766,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Arunachal Pradesh,2018-19,Dec-2018,GSTR-1,10144,794,6331,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Chhattisgarh,2018-19,Dec-2018,GSTR-1,101564,15012,74484,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Telangana,2018-19,Dec-2018,GSTR-3,305678,169651,97232,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Assam,2018-19,Dec-2018,GSTR-1,150627,16042,93591,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Himachal Pradesh,2018-19,Dec-2018,GSTR-3,82700,54247,20425,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Tripura,2018-19,Dec-2018,GSTR-1,22208,2258,16053,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Bihar,2018-19,Dec-2018,GSTR-3,287360,164682,82375,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Kerala,2018-19,Dec-2018,GSTR-3,281909,157990,102667,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Andhra Pradesh,2018-19,Dec-2018,GSTR-3,268317,159880,77813,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Nagaland,2018-19,Dec-2018,GSTR-1,6085,659,3830,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Kerala,2018-19,Dec-2018,GSTR-1,281909,49387,205637,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Arunachal Pradesh,2018-19,Dec-2018,GSTR-3,10144,3285,4655,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Manipur,2018-19,Dec-2018,GSTR-1,10385,759,5781,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Ladakh,2018-19,Dec-2018,GSTR-3,,,,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Chandigarh,2018-19,Dec-2018,GSTR-3,27347,19856,6001,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Manipur,2018-19,Dec-2018,GSTR-3,10385,3559,4031,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Jammu and Kashmir,2018-19,Dec-2018,GSTR-3,84692,52012,23627,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Lakshadweep,2018-19,Dec-2018,GSTR-3,203,70,86,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Rajasthan,2018-19,Dec-2018,GSTR-1,530594,100526,373972,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Goa,2018-19,Dec-2018,GSTR-3,31956,17446,10791,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Tamil Nadu,2018-19,Dec-2018,GSTR-1,865402,207373,513623,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Karnataka,2018-19,Dec-2018,GSTR-3,700400,436829,174546,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Uttarakhand,2018-19,Dec-2018,GSTR-3,123658,74438,34292,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Delhi,2018-19,Dec-2018,GSTR-1,700345,115231,480992,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Maharashtra,2018-19,Dec-2018,GSTR-3,1349417,830474,370273,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Haryana,2018-19,Dec-2018,GSTR-1,416803,83038,279267,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Dadra and Nagar Haveli,2018-19,Dec-2018,GSTR-3,7963,4719,2550,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Goa,2018-19,Dec-2018,GSTR-1,31956,6255,21323,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Haryana,2018-19,Dec-2018,GSTR-3,416803,268109,99449,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Daman and Diu,2018-19,Dec-2018,GSTR-3,5942,3560,1937,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Jharkhand,2018-19,Dec-2018,GSTR-1,139370,22352,95596,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Puducherry,2018-19,Dec-2018,GSTR-1,20448,4390,12193,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Uttarakhand,2018-19,Dec-2018,GSTR-1,123658,17890,86694,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Mizoram,2018-19,Dec-2018,GSTR-1,5062,480,3098,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Gujarat,2018-19,Dec-2018,GSTR-3,838229,594756,187851,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Chandigarh,2018-19,Dec-2018,GSTR-1,27347,6791,18690,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Madhya Pradesh,2018-19,Dec-2018,GSTR-3,335747,216039,98521,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Delhi,2018-19,Dec-2018,GSTR-3,700345,422173,181749,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Chhattisgarh,2018-19,Dec-2018,GSTR-3,101564,55863,37834,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Punjab,2018-19,Dec-2018,GSTR-1,294776,69002,203512,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Odisha,2018-19,Dec-2018,GSTR-3,223141,126902,61310,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Himachal Pradesh,2018-19,Dec-2018,GSTR-1,82700,13152,59827,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Andaman and Nicobar Islands,2018-19,Dec-2018,GSTR-1,4471,397,2822,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Karnataka,2018-19,Dec-2018,GSTR-1,700400,151245,430763,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Rajasthan,2018-19,Dec-2018,GSTR-3,530594,351397,127286,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
West Bengal,2018-19,Dec-2018,GSTR-1,558638,89410,394963,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Jharkhand,2018-19,Dec-2018,GSTR-3,139370,84088,39448,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
West Bengal,2018-19,Dec-2018,GSTR-3,558638,364619,136973,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Jammu and Kashmir,2018-19,Dec-2018,GSTR-1,84692,13643,56616,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Odisha,2018-19,Dec-2018,GSTR-1,223141,26453,149009,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Assam,2018-19,Dec-2018,GSTR-3,150627,62413,54859,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Uttar Pradesh,2018-19,Dec-2018,GSTR-3,1080975,734114,232696,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Tripura,2018-19,Dec-2018,GSTR-3,22208,13173,6004,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Ladakh,2018-19,Dec-2018,GSTR-1,,,,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Meghalaya,2018-19,Dec-2018,GSTR-3,23182,11614,7348,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Telangana,2018-19,Dec-2018,GSTR-1,305678,65550,185700,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Andhra Pradesh,2018-19,Dec-2018,GSTR-1,268317,66023,161740,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Meghalaya,2018-19,Dec-2018,GSTR-1,23182,2495,14051,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Madhya Pradesh,2018-19,Dec-2018,GSTR-1,335747,52220,252965,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Sikkim,2018-19,Dec-2018,GSTR-3,6197,3349,2174,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Gujarat,2018-19,Dec-2018,GSTR-1,838229,199945,575162,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Daman and Diu,2018-19,Dec-2018,GSTR-1,5942,1951,3486,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Dadra and Nagar Haveli,2018-19,Dec-2018,GSTR-1,7963,2295,4947,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Bihar,2018-19,Dec-2018,GSTR-1,287360,30721,204712,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Tamil Nadu,2018-19,Dec-2018,GSTR-3,865402,500468,247001,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Nagaland,2018-19,Dec-2018,GSTR-3,6085,2169,2693,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Punjab,2018-19,Dec-2018,GSTR-3,294776,221141,54250,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Puducherry,2018-19,Dec-2018,GSTR-3,20448,10979,6325,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Mizoram,2018-19,Dec-2018,GSTR-3,5062,2090,1890,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Uttar Pradesh,2018-19,Dec-2018,GSTR-1,1080975,149746,777467,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Lakshadweep,2018-19,Dec-2018,GSTR-1,203,33,114,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Sikkim,2018-19,Dec-2018,GSTR-1,6197,1085,4071,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Andaman and Nicobar Islands,2018-19,Dec-2018,GSTR-3,4471,1263,2218,2018,"Financial Year (Apr - Mar), 2018",201809,"December, 2018"
Chhattisgarh,2018-19,Feb-2019,GSTR-1,42175,9521,24734,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Dadra and Nagar Haveli,2018-19,Feb-2019,GSTR-3,8066,5517,1829,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Nagaland,2018-19,Feb-2019,GSTR-1,4516,637,2318,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Assam,2018-19,Feb-2019,GSTR-3,154902,73047,46194,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Uttar Pradesh,2018-19,Feb-2019,GSTR-1,375418,90656,186484,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Tripura,2018-19,Feb-2019,GSTR-1,10484,1847,5037,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Haryana,2018-19,Feb-2019,GSTR-1,151260,60664,53489,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Lakshadweep,2018-19,Feb-2019,GSTR-1,144,26,51,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Maharashtra,2018-19,Feb-2019,GSTR-3,1364152,927675,292598,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Uttar Pradesh,2018-19,Feb-2019,GSTR-3,1099973,786853,195530,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Manipur,2018-19,Feb-2019,GSTR-1,7329,580,3117,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Mizoram,2018-19,Feb-2019,GSTR-3,5100,2613,1485,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Ladakh,2018-19,Feb-2019,GSTR-1,,,,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Andhra Pradesh,2018-19,Feb-2019,GSTR-3,276045,189178,53420,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Goa,2018-19,Feb-2019,GSTR-1,16105,4792,6577,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Meghalaya,2018-19,Feb-2019,GSTR-3,23576,13571,5527,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Punjab,2018-19,Feb-2019,GSTR-3,300089,243210,35472,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Kerala,2018-19,Feb-2019,GSTR-3,287794,192669,71905,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Tamil Nadu,2018-19,Feb-2019,GSTR-1,594974,156009,333978,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Andhra Pradesh,2018-19,Feb-2019,GSTR-1,181857,46429,100953,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Nagaland,2018-19,Feb-2019,GSTR-3,6243,2765,2226,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Uttarakhand,2018-19,Feb-2019,GSTR-3,126171,82580,28794,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Bihar,2018-19,Feb-2019,GSTR-3,298702,180476,75228,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Sikkim,2018-19,Feb-2019,GSTR-3,6600,3875,1924,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Karnataka,2018-19,Feb-2019,GSTR-3,701194,503036,122626,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Andaman and Nicobar Islands,2018-19,Feb-2019,GSTR-3,4029,1490,1960,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Madhya Pradesh,2018-19,Feb-2019,GSTR-1,123206,31273,65354,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Puducherry,2018-19,Feb-2019,GSTR-3,20618,13304,4098,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Delhi,2018-19,Feb-2019,GSTR-1,250214,78141,84732,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Himachal Pradesh,2018-19,Feb-2019,GSTR-3,85293,61666,14872,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Gujarat,2018-19,Feb-2019,GSTR-1,294597,125528,111975,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Rajasthan,2018-19,Feb-2019,GSTR-1,168653,60072,57005,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Lakshadweep,2018-19,Feb-2019,GSTR-3,202,82,75,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Telangana,2018-19,Feb-2019,GSTR-3,313476,199345,73259,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Daman and Diu,2018-19,Feb-2019,GSTR-1,3160,1579,1121,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Meghalaya,2018-19,Feb-2019,GSTR-1,13478,1509,5989,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Chandigarh,2018-19,Feb-2019,GSTR-3,27639,21889,4104,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Arunachal Pradesh,2018-19,Feb-2019,GSTR-3,10561,3991,4143,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Dadra and Nagar Haveli,2018-19,Feb-2019,GSTR-1,3897,1843,1439,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
Delhi,2018-19,Feb-2019,GSTR-3,719691,466283,145785,2018,"Financial Year (Apr - Mar), 2018",201811,"February, 2019"
